week,actors,cumulative
1,"[{'name': '@billmaher', 'frequency': 1}]",1
2,"[{'name': '@NYMag', 'frequency': 1}]",1
3,"[{'name': '@VanityFair', 'frequency': 4}, {'name': '@DannyZuker', 'frequency': 26}]",30
4,"[{'name': '@VanityFair', 'frequency': 2}, {'name': '@DannyZuker', 'frequency': 2}]",4
5,"[{'name': '@VanityFair', 'frequency': 2}, {'name': '@mboyle1', 'frequency': 1}]",3
6,"[{'name': '@WashTimes', 'frequency': 2}, {'name': '@DannyZuker', 'frequency': 10}]",12
7,"[{'name': '@SarahPalinUSA', 'frequency': 1}, {'name': '@mboyle1', 'frequency': 1}, {'name': '@DannyZuker', 'frequency': 5}]",7
8,"[{'name': '@billmaher', 'frequency': 1}]",1
9,"[{'name': '@thehill', 'frequency': 1}, {'name': '@billmaher', 'frequency': 1}]",2
10,"[{'name': '@mboyle1', 'frequency': 1}, {'name': '@AlexSalmond', 'frequency': 1}]",2
11,[],0
12,"[{'name': '@Rosie', 'frequency': 2}, {'name': '@AlexSalmond', 'frequency': 1}, {'name': '@DannyZuker', 'frequency': 2}]",5
13,[],0
14,"[{'name': '@VanityFair', 'frequency': 1}, {'name': '@AlexSalmond', 'frequency': 3}]",4
15,"[{'name': '@HuffingtonPost', 'frequency': 9}, {'name': '@mboyle1', 'frequency': 1}, {'name': '@AlexSalmond', 'frequency': 1}, {'name': '@Toure', 'frequency': 2}]",13
16,"[{'name': '@AlexSalmond', 'frequency': 2}, {'name': '@DannyZuker', 'frequency': 1}, {'name': '@NYMag', 'frequency': 2}, {'name': '@Toure', 'frequency': 1}]",6
17,"[{'name': '@Toure', 'frequency': 1}]",1
18,"[{'name': '@billmaher', 'frequency': 2}, {'name': '@Toure', 'frequency': 1}]",3
19,"[{'name': '@Toure', 'frequency': 8}]",8
20,"[{'name': '@mboyle1', 'frequency': 1}]",1
21,[],0
22,[],0
23,[],0
24,"[{'name': '@WSJ', 'frequency': 2}, {'name': '@DanAmira', 'frequency': 21}, {'name': '@NYMag', 'frequency': 25}]",48
25,"[{'name': '@VanityFair', 'frequency': 1}, {'name': '@DanAmira', 'frequency': 3}, {'name': '@NYMag', 'frequency': 7}]",11
26,"[{'name': '@WSJ', 'frequency': 1}, {'name': '@billmaher', 'frequency': 4}, {'name': '@AlexSalmond', 'frequency': 5}, {'name': '@DannyZuker', 'frequency': 1}]",11
27,"[{'name': '@AlexSalmond', 'frequency': 1}]",1
28,[],0
29,[],0
30,"[{'name': '@AlexSalmond', 'frequency': 4}]",4
31,"[{'name': '@SarahPalinUSA', 'frequency': 2}, {'name': '@AlexSalmond', 'frequency': 2}]",4
32,"[{'name': '@VanityFair', 'frequency': 4}, {'name': '@AlexSalmond', 'frequency': 3}]",7
33,"[{'name': '@AlexSalmond', 'frequency': 1}]",1
34,"[{'name': '@AlexSalmond', 'frequency': 3}]",3
35,[],0
36,"[{'name': '@AlexSalmond', 'frequency': 2}]",2
37,[],0
38,"[{'name': '@UnionLeader', 'frequency': 1}, {'name': '@AlexSalmond', 'frequency': 1}]",2
39,"[{'name': '@billmaher', 'frequency': 1}]",1
40,"[{'name': '@nytimes', 'frequency': 1}, {'name': '@AlexSalmond', 'frequency': 1}]",2
41,"[{'name': '@AlexSalmond', 'frequency': 3}]",3
42,"[{'name': '@AlexSalmond', 'frequency': 2}]",2
43,[],0
44,[],0
45,[],0
46,"[{'name': '@AlexSalmond', 'frequency': 4}]",4
47,[],0
48,"[{'name': '@AlexSalmond', 'frequency': 4}]",4
49,"[{'name': '@DannyZuker', 'frequency': 1}]",1
50,"[{'name': '@UnionLeader', 'frequency': 1}, {'name': '@AlexSalmond', 'frequency': 5}]",6
51,[],0
52,"[{'name': '@VanityFair', 'frequency': 3}, {'name': '@AlexSalmond', 'frequency': 2}]",5
