actor,frequency,negative,positive,rated
@OANN,24,-4,15,11
@washingtonpost,34,-13,17,4
@CNN,272,-97,130,33
@seanhannity,132,-27,79,52
@foxandfriends,401,-63,236,173
@SeanHannity,20,-1,14,13
@LouDobbs,30,-6,16,10
@WhiteHouse,103,-1,87,86
@MariaBartiromo,17,-5,8,3
@FoxNews,493,-132,286,154
@AbeShinzo,10,0,8,8
@NRA,14,-3,8,5
@FLOTUS,45,-1,29,28
@FoxBusiness,26,-7,14,7
@ByronYork,14,-2,7,5
@JudgeJeanine,23,-3,16,13
@TuckerCarlson,21,-9,10,1
@IngrahamAngle,12,-2,8,6
@BreitbartNews,68,-19,21,2
@EmmanuelMacron,16,-2,15,13
@BretBaier,41,-8,23,15
@TigerWoods,20,-2,13,11
@LindseyGrahamSC,19,-5,7,2
@EricTrump,75,-6,55,49
@Netanyahu,10,0,7,7
@DHSgov,12,-2,7,5
@VP,24,-3,15,12
@AnnCoulter,42,-13,16,3
@marklevinshow,22,-2,14,12
@TeamCavuto,10,-1,7,6
@foxnews,10,-2,10,8
@FaceTheNation,12,-3,8,5
@60Minutes,20,-4,14,10
@DRUDGE,28,-4,14,10
@GOP,67,-14,36,22
@RandPaul,13,-1,11,10
@realDonaldTrump,7794,-971,4280,3309
@GeraldoRivera,46,-8,26,18
@FEMA,17,-1,10,9
@marcorubio,18,-4,9,5
@jaketapper,16,-3,5,2
@ScottWalker,15,-4,8,4
@CBSNews,26,-6,12,6
@USNavy,13,0,7,7
@ABC,39,-12,30,18
@FLGovScott,10,-2,4,2
@TODAYshow,28,-2,19,17
@DiamondandSilk,11,-2,9,7
@mike,23,-10,25,15
@kilmeade,12,0,7,7
@jimmyfallon,15,-3,11,8
@NBC,25,-28,32,4
@nypost,21,-6,7,1
@SenateMajLdr,11,0,9,9
@SpeakerRyan,10,0,6,6
@Reince,10,-4,6,2
@IvankaTrump,144,-12,95,83
@Morning,52,-17,35,18
@oreillyfactor,130,-24,67,43
@TheBrodyFile,21,-3,12,9
@chucktodd,26,-9,13,4
@DanScavino,43,-10,21,11
@DonaldJTrumpJr,65,-2,46,44
@RealDonaldTrump,23,-3,12,9
@FoxNewsSunday,18,-2,13,11
@nbcsnl,23,-3,15,12
@piersmorgan,37,-3,26,23
@Mike,17,-16,76,60
@HillaryClinton,59,-14,22,8
@AC360,15,-3,7,4
@megynkelly,152,-47,69,22
@donlemon,21,-5,12,7
@SenTedCruz,20,-6,9,3
@FallonTonight,10,-2,6,4
@CNBC,28,-11,12,1
@morningmika,14,-6,7,1
@ericbolling,27,-2,14,12
@kimguilfoyle,11,0,9,9
@Trump,35,-37,514,477
@JoeNBC,21,-2,15,13
@greta,74,-22,47,25
@realdonaldtrump,72,-11,48,37
@KarlRove,47,-17,20,3
@MarkHalperin,11,-3,7,4
@meetthepress,22,-5,12,7
@TraceAdkins,10,-2,7,5
@TrumpTurnberry,30,-1,23,22
@TrumpScotland,43,-2,29,27
@FrankCaliendo,15,0,11,11
@MikeAndMike,37,-2,27,25
@MELANIATRUMP,37,-1,28,27
@AP,25,-8,10,2
@tedcruz,28,-3,17,14
@andersoncooper,11,-3,8,5
@ThisWeekABC,18,-1,14,13
@GStephanopoulos,17,-3,7,4
@EWErickson,11,-2,5,3
@J,10,-162,547,385
@PeteRose,10,-1,5,4
@GolfChannel,12,-1,8,7
@politico,26,-8,14,6
@The,25,-42,151,109
@TrumpDoral,124,-7,86,79
@davidaxelrod,10,-3,5,2
@BornToBeGOP,15,-3,9,6
@David,19,-10,38,28
@bobvanderplaats,16,-3,6,3
@krauthammer,30,-4,12,8
@CNNPolitics,29,-8,15,7
@NRO,19,-5,7,2
@jacknicklaus,22,-1,16,15
@HowardStern,23,-3,20,17
