actor,frequency,negative,positive,rated
@nytimes,123,-64,46,-18
@MSNBC,11,-5,2,-3
@MittRomney,25,-14,6,-8
@NBCNews,39,-19,15,-4
@FrankLuntz,21,-8,6,-2
@WSJ,39,-15,13,-2
@thehill,24,-11,7,-4
@WashTimes,12,-3,2,-1
@VanityFair,26,-15,4,-11
@RealBenCarson,13,-5,3,-2
@NYDailyNews,23,-13,7,-6
@JebBush,70,-27,19,-8
@SarahPalinUSA,16,-8,5,-3
@UnionLeader,15,-4,3,-1
@JonahNRO,18,-10,6,-4
@HuffingtonPost,22,-8,6,-2
@mboyle1,12,-5,0,-5
@billmaher,11,-7,2,-5
@Rosie,16,-9,4,-5
@TMZ,13,-3,2,-1
@AlexSalmond,56,-28,22,-6
@DannyZuker,52,-20,19,-1
@DanAmira,24,-13,7,-6
@NYMag,36,-18,14,-4
@Toure,13,-10,3,-7
