,@nytimes,@MSNBC,@MittRomney,@NBCNews,@FrankLuntz,@WSJ,@thehill,@WashTimes,@VanityFair,@RealBenCarson,@NYDailyNews,@JebBush,@SarahPalinUSA,@UnionLeader,@JonahNRO,@HuffingtonPost,@mboyle1,@billmaher,@Rosie,@AlexSalmond,@DannyZuker,@DanAmira,@NYMag,@Toure
@nytimes,0,4,0,8,4,9,2,2,1,3,0,6,1,0,0,2,0,1,0,1,0,0,0,0
@MSNBC,4,0,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
@MittRomney,0,2,0,1,0,1,3,1,1,2,4,4,2,0,0,1,0,0,0,0,0,0,0,0
@NBCNews,8,1,1,0,1,3,1,2,0,1,3,0,2,0,0,0,1,0,1,0,0,0,0,0
@FrankLuntz,4,0,0,1,0,4,3,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0
@WSJ,9,1,1,3,4,0,4,2,1,4,1,5,1,0,0,1,1,2,0,1,1,1,1,0
@thehill,2,0,3,1,3,4,0,0,1,2,2,6,0,2,2,2,2,1,0,0,0,0,0,0
@WashTimes,2,0,1,2,0,2,0,0,0,0,3,2,1,0,0,2,2,0,0,0,1,0,0,0
@VanityFair,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,3,2,1,1,0
@RealBenCarson,3,0,2,1,1,4,2,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0
@NYDailyNews,0,0,4,3,0,1,2,3,0,3,0,3,2,0,0,1,1,0,0,0,0,0,0,0
@JebBush,6,1,4,0,2,5,6,2,1,2,3,0,3,2,1,1,0,1,0,0,0,0,0,0
@SarahPalinUSA,1,1,2,2,0,1,0,1,1,0,2,3,0,0,0,0,2,0,0,1,1,0,0,0
@UnionLeader,0,0,0,0,1,0,2,0,0,1,0,2,0,0,2,2,0,0,0,2,0,0,0,0
@JonahNRO,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
@HuffingtonPost,2,0,1,0,1,1,2,2,0,0,1,1,0,2,0,0,1,0,0,1,0,0,0,1
@mboyle1,0,0,0,1,0,1,2,2,1,0,1,0,2,0,0,1,0,0,0,2,1,0,0,1
@billmaher,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
@Rosie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
@AlexSalmond,1,0,0,0,0,1,0,0,3,0,0,0,1,2,0,1,2,1,1,0,3,0,1,2
@DannyZuker,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,1,1,1,3,0,0,1,1
@DanAmira,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
@NYMag,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1
@Toure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,0,1,0
