,aggregated_sentiment_per_day
0,-0.35583333333333333
1,-0.890892857142857
2,-0.6470833333333333
3,0.0
4,-1.7263690476190474
5,-0.05840909090909091
6,-0.01071428571428574
7,-0.11111111111111115
8,0.0
9,-2.283333333333333
10,-1.6364646464646466
11,-0.35000000000000003
12,-1.4994570707070705
13,-0.6885416666666666
14,-0.65
15,-1.2916666666666665
16,-2.3520833333333333
17,-4.609839573455645
18,-4.58778311965812
19,-0.9200000000000002
20,-1.3556511544011545
21,-4.069444444444444
22,-0.5496212121212122
23,-1.2437500000000001
24,0.0
25,0.0
26,0.0
27,0.0
28,-1.3926282051282053
29,-2.8090277777777777
30,-0.022753267973856222
31,0.0
32,0.0
33,0.0
34,0.0
35,-1.0
36,-1.9055555555555557
37,-3.0725
38,-0.125
39,0.0
40,-0.7416666666666666
41,-0.47500000000000003
42,-0.7643518518518517
43,-0.16423960097873147
44,-0.6
45,-0.2988095238095238
46,0.0
47,0.0
48,-0.22499999999999998
49,-0.6845238095238095
50,-1.9041666666666668
51,-1.8837962962962962
52,-0.8375
53,-0.8190656565656567
54,-0.9523148148148147
55,-3.4019841269841273
56,0.0
57,-1.3962121212121212
58,-0.5875
59,-1.4366666666666665
60,-1.1116666666666668
61,-0.8
62,-0.05
63,-1.4795454545454545
64,-0.4107142857142858
65,-0.04166666666666668
66,0.0
67,-3.391666666666667
68,-1.7916666666666667
69,-0.12667374292374295
70,-0.044318181818181826
71,-1.79
72,-1.5214285714285714
73,-0.039027777777777786
74,0.0
75,-0.325
76,-1.0
77,-4.447770562770564
78,-6.8313388000888
79,-1.7456601731601733
80,-0.18055555555555555
81,-0.038095238095238126
82,-0.3666666666666667
83,-1.4125
84,0.0
85,-2.4212962962962963
86,-1.4103463203463205
87,-2.002083333333333
88,0.0
89,0.0
90,-0.10000000000000003
91,-1.1571428571428573
92,-0.4
93,-0.8
94,-4.168055555555555
95,0.0
96,0.0
97,-0.3617063492063492
98,-2.3430555555555554
99,0.0
100,-1.060338383838384
101,-1.0304166666666668
102,-0.08333333333333333
103,-1.3333333333333333
104,0.0
105,-2.5
106,-2.823472222222222
107,-1.1105555555555557
108,0.0
109,0.0
110,-2.746031746031746
111,-1.1472222222222224
112,-0.4000000000000001
113,-0.17777777777777778
114,-2.6825
115,-2.4711153198653193
116,-0.8
117,-0.525
118,-1.761111111111111
119,-2.6121428571428567
120,-1.81
121,-3.324803321678322
122,-0.7444444444444446
123,-1.8458333333333332
124,-0.05
125,-1.3427609427609428
126,-3.5153428515928513
127,-1.666111111111111
128,-0.44451754385964914
129,-0.7375
130,0.0
131,-0.3625252525252525
132,0.0
133,-0.9166666666666666
134,-0.6
135,-0.03749999999999999
136,-1.1264880952380953
137,-0.55
138,-0.7048148148148149
139,-1.3888888888888888
140,-0.20555555555555552
141,-0.41111111111111115
142,-0.393
143,-0.75
144,0.0
145,0.0
146,-0.03953122494789166
147,-1.0107142857142855
148,-1.129040404040404
149,-0.08192432567432568
150,-1.1958333333333333
151,0.0
152,0.0
153,-0.37777777777777777
154,-0.6352272727272728
155,-0.6839285714285714
156,-0.7999999999999999
157,-1.4166666666666665
158,0.0
159,0.0
160,-0.4083333333333334
161,0.0
162,-0.6
163,-0.5666666666666667
164,-7.096666666666667
165,-0.2454545454545454
166,-0.8967121212121213
167,0.0
168,-0.2
169,-0.6333333333333333
170,0.0
171,-0.175
172,-2.052083333333333
173,-0.9277777777777776
174,-1.6083333333333334
175,-2.591666666666667
176,-0.1666666666666666
177,-0.76875
