,positive_tweet_count_per_day
0,6
1,24
2,12
3,2
4,18
5,17
6,3
7,5
8,0
9,20
10,22
11,0
12,18
13,24
14,8
15,9
16,15
17,25
18,23
19,10
20,8
21,11
22,19
23,29
24,11
25,2
26,7
27,10
28,14
29,25
30,0
31,2
32,1
33,0
34,6
35,13
36,16
37,14
38,7
39,5
40,6
41,5
42,3
43,14
44,7
45,10
46,2
47,2
48,5
49,11
50,24
51,11
52,8
53,8
54,10
55,17
56,7
57,18
58,2
59,10
60,18
61,8
62,22
63,17
64,33
65,7
66,10
67,25
68,19
69,1
70,20
71,43
72,17
73,16
74,0
75,7
76,10
77,22
78,47
79,12
80,10
81,6
82,11
83,15
84,13
85,14
86,23
87,15
88,1
89,1
90,22
91,17
92,16
93,11
94,18
95,4
96,11
97,11
98,26
99,13
100,24
101,10
102,5
103,10
104,3
105,8
106,19
107,21
108,2
109,4
110,7
111,5
112,4
113,18
114,25
115,23
116,7
117,6
118,14
119,14
120,18
121,18
122,8
123,19
124,13
125,17
126,17
127,37
128,6
129,15
130,0
131,16
132,9
133,11
134,13
135,15
136,12
137,8
138,6
139,4
140,6
141,11
142,5
143,15
144,3
145,4
146,3
147,7
148,9
149,5
150,8
151,2
152,1
153,8
154,10
155,8
156,8
157,28
158,0
159,1
160,11
161,7
162,3
163,8
164,27
165,6
166,12
167,0
168,5
169,13
170,7
171,8
172,5
173,22
174,12
175,8
176,7
177,8
178,5
179,0
180,0
181,11
182,7
183,12
184,12
185,3
186,5
187,0
188,14
189,9
190,1
191,10
192,13
193,4
194,0
195,4
196,8
197,12
198,6
199,10
200,1
201,0
202,11
203,9
204,13
205,2
206,9
207,11
208,1
209,9
210,18
211,2
212,4
213,3
214,2
215,5
216,13
217,12
218,6
219,9
220,0
221,0
222,2
223,5
224,9
225,8
226,17
227,8
228,10
229,3
230,7
231,9
232,3
233,2
234,1
235,8
236,1
237,4
238,5
239,1
240,8
241,5
242,0
243,1
244,7
245,3
246,3
247,32
248,8
249,3
250,5
251,15
252,7
253,28
254,7
255,5
256,8
257,0
258,12
259,0
260,4
261,4
262,0
263,2
264,2
265,5
266,7
267,12
268,10
269,14
270,1
271,3
